Year,OSHPD ID,Facility Name,County Name,ER Service Level Desc,Type,Count
2012,106010735,ALAMEDA HOSPITAL,ALAMEDA,BASIC,ED_Admit,2595
2012,106010735,ALAMEDA HOSPITAL,ALAMEDA,BASIC,ED_Visit,13727
2013,106010735,ALAMEDA HOSPITAL,ALAMEDA,BASIC,ED_Admit,2579
2013,106010735,ALAMEDA HOSPITAL,ALAMEDA,BASIC,ED_Visit,13538
2014,106010735,ALAMEDA HOSPITAL,ALAMEDA,BASIC,ED_Admit,2214
2014,106010735,ALAMEDA HOSPITAL,ALAMEDA,BASIC,ED_Visit,14027
2015,106010735,ALAMEDA HOSPITAL,ALAMEDA,BASIC,ED_Admit,1907
2015,106010735,ALAMEDA HOSPITAL,ALAMEDA,BASIC,ED_Visit,15611
2016,106010735,ALAMEDA HOSPITAL,ALAMEDA,BASIC,ED_Admit,1848
2016,106010735,ALAMEDA HOSPITAL,ALAMEDA,BASIC,ED_Visit,15111
2017,106010735,ALAMEDA HOSPITAL,ALAMEDA,BASIC,ED_Admit,1949
2017,106010735,ALAMEDA HOSPITAL,ALAMEDA,BASIC,ED_Visit,14963
2018,106010735,ALAMEDA HOSPITAL,ALAMEDA,BASIC,ED_Admit,1984
2018,106010735,ALAMEDA HOSPITAL,ALAMEDA,BASIC,ED_Visit,15015
2019,106010735,ALAMEDA HOSPITAL,ALAMEDA,BASIC,ED_Visit,13804
2019,106010735,ALAMEDA HOSPITAL,ALAMEDA,BASIC,ED_Admit,2107
2020,106010735,ALAMEDA HOSPITAL,ALAMEDA,BASIC,ED_Visit,10357
2020,106010735,ALAMEDA HOSPITAL,ALAMEDA,BASIC,ED_Admit,1758
2012,106010739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,BASIC,ED_Admit,6047
2012,106010739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,BASIC,ED_Visit,35342
2013,106010739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,BASIC,ED_Admit,5933
2013,106010739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,BASIC,ED_Visit,36972
2014,106010739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,BASIC,ED_Admit,5349
2014,106010739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,BASIC,ED_Visit,39844
2015,106010739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,BASIC,ED_Admit,5890
2015,106010739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,BASIC,ED_Visit,40430
2016,106010739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,BASIC,ED_Admit,5930
2016,106010739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,BASIC,ED_Visit,39406
2017,106010739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,BASIC,ED_Admit,5687
2017,106010739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,BASIC,ED_Visit,37974
2018,106010739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,BASIC,ED_Admit,5345
2018,106010739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,BASIC,ED_Visit,35522
2019,106010739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,BASIC,ED_Visit,34152
2019,106010739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,BASIC,ED_Admit,5180
2020,106010739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,BASIC,ED_Visit,25433
2020,106010739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,BASIC,ED_Admit,4409
2012,106010776,CHILDRENS HOSPITAL AND RESEARCH CENTER AT OAKLAND,ALAMEDA,BASIC,ED_Admit,6911
2012,106010776,CHILDRENS HOSPITAL AND RESEARCH CENTER AT OAKLAND,ALAMEDA,BASIC,ED_Visit,39218
2013,106010776,CHILDRENS HOSPITAL AND RESEARCH CENTER AT OAKLAND,ALAMEDA,BASIC,ED_Admit,7017
2013,106010776,CHILDRENS HOSPITAL AND RESEARCH CENTER AT OAKLAND,ALAMEDA,BASIC,ED_Visit,38211
2014,106010776,CHILDRENS HOSPITAL AND RESEARCH CENTER AT OAKLAND,ALAMEDA,BASIC,ED_Admit,7152
2014,106010776,CHILDRENS HOSPITAL AND RESEARCH CENTER AT OAKLAND,ALAMEDA,BASIC,ED_Visit,37139
2015,106010776,CHILDRENS HOSPITAL AND RESEARCH CENTER AT OAKLAND,ALAMEDA,BASIC,ED_Admit,6929
2015,106010776,CHILDRENS HOSPITAL AND RESEARCH CENTER AT OAKLAND,ALAMEDA,BASIC,ED_Visit,39610
2016,106010776,CHILDRENS HOSPITAL AND RESEARCH CENTER AT OAKLAND,ALAMEDA,BASIC,ED_Admit,5980
2016,106010776,CHILDRENS HOSPITAL AND RESEARCH CENTER AT OAKLAND,ALAMEDA,BASIC,ED_Visit,39031
2017,106010776,CHILDRENS HOSPITAL AND RESEARCH CENTER AT OAKLAND,ALAMEDA,BASIC,ED_Admit,5910
2017,106010776,CHILDRENS HOSPITAL AND RESEARCH CENTER AT OAKLAND,ALAMEDA,BASIC,ED_Visit,38201
2018,106010776,UCSF BENIOFF CHILDREN'S HOSPITAL OAKLAND,ALAMEDA,BASIC,ED_Admit,5250
2018,106010776,UCSF BENIOFF CHILDREN'S HOSPITAL OAKLAND,ALAMEDA,BASIC,ED_Visit,37289
2019,106010776,UCSF BENIOFF CHILDREN'S HOSPITAL OAKLAND,ALAMEDA,BASIC,ED_Visit,36656
2019,106010776,UCSF BENIOFF CHILDREN'S HOSPITAL OAKLAND,ALAMEDA,BASIC,ED_Admit,6014
2020,106010776,UCSF BENIOFF CHILDREN'S HOSPITAL OAKLAND,ALAMEDA,BASIC,ED_Visit,22698
2020,106010776,UCSF BENIOFF CHILDREN'S HOSPITAL OAKLAND,ALAMEDA,BASIC,ED_Admit,4457
2012,106010805,EDEN MEDICAL CENTER,ALAMEDA,BASIC,ED_Admit,6324
2012,106010805,EDEN MEDICAL CENTER,ALAMEDA,BASIC,ED_Visit,31731
2014,106010844,ALTA BATES SUMMIT MEDICAL CENTER-HERRICK CAMPUS,ALAMEDA,NOT APPLICABLE,ED_Admit,1
2014,106010844,ALTA BATES SUMMIT MEDICAL CENTER-HERRICK CAMPUS,ALAMEDA,NOT APPLICABLE,ED_Visit,0
2012,106010846,HIGHLAND HOSPITAL,ALAMEDA,BASIC,ED_Admit,8992
