borough_id,time_period,Children under 6 years with elevated blood lead levels (BLL) Number BLL >=5 µg/dL,Children under 6 years with elevated blood lead levels (BLL) Number BLL>=10 µg/dL,Children under 6 years with elevated blood lead levels (BLL) Number BLL>=15 µg/dL,Children under 6 years with elevated blood lead levels (BLL) Number Tested
1,2005,8245,595,167,64500
1,2006,7272,474,144,67200
1,2007,6174,438,135,68300
1,2008,4254,292,105,69800
1,2009,2742,278,103,70000
1,2010,2625,290,101,70100
1,2011,1996,231,75,70100
1,2012,1396,184,81,66800
1,2013,1312,193,74,65300
1,2014,1186,177,68,63400
1,2015,971,155,61,61700
1,2016,884,162,71,59000
2,2005,15015,1301,448,106800
2,2006,14199,1230,412,103800
2,2007,12622,1002,325,104500
2,2008,8288,777,266,108300
2,2009,6719,698,252,111900
2,2010,6182,707,250,117500
2,2011,5483,595,182,119800
2,2012,4017,460,148,113700
2,2013,3370,380,137,111800
2,2014,2929,412,149,109300
2,2015,2458,423,142,108800
2,2016,2314,376,122,103800
3,2005,4851,324,85,43900
3,2006,4531,268,92,44600
3,2007,3935,203,52,44600
3,2008,2428,190,55,43900
3,2009,1579,129,39,43300
3,2010,1228,133,45,45100
3,2011,992,110,48,44700
3,2012,654,79,32,42700
3,2013,622,68,27,41100
3,2014,539,68,20,38400
3,2015,399,59,19,37500
3,2016,289,46,22,35800
4,2005,8238,750,278,80400
4,2006,7638,694,246,82800
4,2007,6699,550,198,84100
4,2008,4821,471,160,89700
4,2009,3649,403,147,90700
4,2010,3528,400,161,92200
4,2011,2649,353,128,92900
4,2012,1864,286,119,90600
4,2013,1638,239,77,89900
4,2014,1658,271,95,89400
4,2015,1377,244,87,89500
4,2016,1247,203,75,87400
5,2005,990,112,36,14500
5,2006,983,101,34,15600
5,2007,1049,89,35,16500
5,2008,611,73,26,16000
5,2009,528,57,24,15600
5,2010,388,44,9,15900
5,2011,317,43,14,15400
5,2012,246,44,12,14700
5,2013,260,30,10,14700
5,2014,238,31,9,14000
5,2015,164,27,9,13700
5,2016,192,35,10,12900
3,2015,45,7,2,3500
4,2006,556,30,12,6300
3,2008,118,10,0,4300
4,2009,494,62,25,11600
4,2012,119,21,9,6200
,2008,20423,1803,612,328000
3,2010,100,16,4,5700
1,2009,279,29,9,8200
3,2015,42,5,1,4100
3,2014,35,3,0,4200
2,2010,1152,136,44,15800
4,2007,1052,86,37,12600
3,2012,68,10,3,4800
3,2008,273,20,7,5500
3,2012,34,5,1,1600
3,2015,67,9,4,5300
2,2013,387,43,15,12800
4,2012,11,2,0,2200
3,2007,188,10,1,1600
3,2007,405,23,4,5600
2,2014,368,50,16,13700
2,2006,700,46,15,7400
4,2013,81,11,3,4800
2,2005,832,84,28,6500
4,2015,42,10,4,4000
5,2010,59,8,2,4800
1,2010,255,31,14,7300
1,2011,343,43,9,12400
5,2008,74,5,2,5000
2,2016,111,16,6,9200
,2011,11437,1332,447,342900
1,2007,1093,99,22,12100
2,2014,97,8,2,7300
1,2014,115,21,9,6200
2,2008,327,42,16,6400
1,2014,200,32,14,11200
4,2011,149,13,7,8200
4,2009,289,29,9,6600
,2005,37344,3082,1014,310100
2,2005,1035,79,25,8900
2,2013,329,31,11,4500
4,2009,369,47,16,8800
5,2013,28,3,1,4200
1,2009,486,55,20,12100
3,2011,71,12,7,5100
1,2015,83,13,4,7100
3,2009,110,7,1,4300
2,2012,394,47,10,4900
3,2016,6,1,1,1800
5,2013,22,1,1,2300
2,2008,1302,152,51,13500
2,2012,129,13,3,7400
