county,year,dof_pop
Alameda,2010,1516357
Alameda,2011,1534536
Alameda,2012,1557085
Alameda,2013,1577934
Alameda,2014,1601017
Alameda,2015,1621520
Alameda,2016,1637792
Alameda,2017,1651559
Alameda,2018,1662730
Alameda,2019,1674115
Alameda,2020,1685886
Alpine,2010,1175
Alpine,2011,1170
Alpine,2012,1166
Alpine,2013,1164
Alpine,2014,1161
Alpine,2015,1154
Alpine,2016,1151
Alpine,2017,1146
Alpine,2018,1134
Alpine,2019,1128
Alpine,2020,1117
Amador,2010,37682
Amador,2011,37007
Amador,2012,36631
Amador,2013,36167
Amador,2014,36403
Amador,2015,36385
Amador,2016,36843
Amador,2017,37391
Amador,2018,38146
Amador,2019,38223
Amador,2020,38531
Butte,2010,220377
Butte,2011,220988
Butte,2012,222159
Butte,2013,222374
Butte,2014,223743
Butte,2015,224301
Butte,2016,224785
Butte,2017,226421
Butte,2018,227353
Butte,2019,216965
Butte,2020,217769
Calaveras,2010,45542
Calaveras,2011,45399
Calaveras,2012,45296
Calaveras,2013,45117
Calaveras,2014,45014
Calaveras,2015,44907
Calaveras,2016,44763
Calaveras,2017,44656
Calaveras,2018,44572
Calaveras,2019,44394
Calaveras,2020,44289
Colusa,2010,21322
Colusa,2011,21414
Colusa,2012,21492
Colusa,2013,21590
Colusa,2014,21626
Colusa,2015,21814
Colusa,2016,22069
Colusa,2017,22253
Colusa,2018,22260
Colusa,2019,22483
Colusa,2020,22593
Contra Costa,2010,1052613
Contra Costa,2011,1065963
Contra Costa,2012,1077943
Contra Costa,2013,1091492
Contra Costa,2014,1103981
Contra Costa,2015,1118070
Contra Costa,2016,1129996
Contra Costa,2017,1138191
Contra Costa,2018,1147327
Contra Costa,2019,1153077
Contra Costa,2020,1160099
Del Norte,2010,28403
Del Norte,2011,28257
Del Norte,2012,28040
Del Norte,2013,27564
Del Norte,2014,27212
Del Norte,2015,27076
Del Norte,2016,26961
Del Norte,2017,26764
Del Norte,2018,27419
Del Norte,2019,27520
Del Norte,2020,27558
El Dorado,2010,181191
El Dorado,2011,181209
El Dorado,2012,181448
El Dorado,2013,182612
El Dorado,2014,182701
El Dorado,2015,183269
El Dorado,2016,184232
El Dorado,2017,186531
El Dorado,2018,189360
El Dorado,2019,191210
El Dorado,2020,193098
Fresno,2010,933238
Fresno,2011,943968
Fresno,2012,952866
Fresno,2013,960412
Fresno,2014,969682
Fresno,2015,979827
Fresno,2016,988682
Fresno,2017,999423
Fresno,2018,1010837
Fresno,2019,1021960
Fresno,2020,1032227
Glenn,2010,28229
Glenn,2011,28300
Glenn,2012,28156
Glenn,2013,28214
Glenn,2014,28345
Glenn,2015,28361
Glenn,2016,28449
Glenn,2017,28619
Glenn,2018,28755
Glenn,2019,29197
Glenn,2020,29348
Humboldt,2010,135094
